"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202109090tam","GodwCh00","WR","Chris Godwin","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,105,1,24,1,0,0,0,0,0,"TAM","DAL",0,0,0,0,0,1,27.5,27.5,19,19,21,21,0,0,0,0,0,0,0,110.5,58,2,64,98,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","GronRo00","TE","Rob Gronkowski","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,90,2,20,0,0,0,0,0,0,"TAM","DAL",0,0,0,0,0,0,29,29,25,25,25,25,0,0,0,0,0,0,0,52.8,37,0,57,88,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","EvanMi00","WR","Mike Evans","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,24,0,10,0,0,0,0,0,0,"TAM","DAL",0,0,0,0,0,0,5.4,5.4,3.9,3.9,3.9,3.9,0,0,0,0,0,0,0,46.2,6,0,61,94,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","BernGi00","RB","Giovani Bernard","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,12,0,8,0,0,0,0,0,0,"TAM","DAL",0,0,0,0,0,0,3.2,3.2,2.2,2.2,2.2,2.2,0,0,0,0,0,0,0,18.9,13,0,17,26,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","JohnTy00","WR","Tyler Johnson","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"TAM","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,5,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","HowaO.00","TE","O.J. Howard","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TAM","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","SpriJe00","TE","Jeremy Sprinkle","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DAL","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","ClemCo00","RB","Corey Clement","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DAL","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","BratCa00","TE","Cameron Brate","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TAM","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109090tam","MillSc01","WR","Scott Miller","TAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TAM","DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,"DAL","TAM",29,31,"False","outdoors","grass ",82,85,9,-8.5,"TAM",52,2021-09-09
"202109120atl","SandMi01","RB","Miles Sanders","PHI",0,0,0,0,0,0,0,0,0,15,74,0,23,5,4,39,0,25,0,0,15,15,0,15,"PHI","ATL",1,0,0,0,0,0,17.3,17.3,15.3,15.3,15.3,15.3,0,0,0,0,65,9,0,-10,51,0,47,66,"PHI","ATL",32,6,"False","retractable roof (open)","fieldturf",72,45,0,-3.5,"ATL",49,2021-09-12
